,Name,Station ID,Latitude (Decimal Degrees),Longitude (Decimal Degrees),DLY First Year,DLY Last Year
6737,BERTHIERVILLE,5208,46.05,-73.18,1919.0,1995.0
6753,DONNACONA 2,5222,46.68,-71.73,1952.0,2008.0
6769,L'ASSOMPTION,5237,45.81,-73.43,1930.0,2019.0
6771,LES CEDRES,5239,45.3,-74.05,1913.0,2019.0
6780,OKA,5248,45.5,-74.07,1937.0,2019.0
6785,QUEBEC/JEAN LESAGE INTL A,5251,46.8,-71.38,1943.0,2017.0
6790,RIVIERE A PIERRE,5253,47.0,-72.17,1949.0,1994.0
6792,ST ALBAN,5255,46.72,-72.08,1949.0,2019.0
6794,STE ANNE DE LA PERADE,5257,46.58,-72.23,1949.0,2019.0
6799,ST CHARLES DE MANDEVILLE,5262,46.35,-73.35,1921.0,2019.0
6801,STE CHRISTINE,5266,46.82,-71.92,1950.0,2019.0
6803,ST COME,5268,46.28,-73.75,1950.0,2019.0
6809,ST JACQUES,5274,45.95,-73.58,1957.0,2018.0
6818,ST PAULIN,5282,46.42,-73.02,1950.0,1991.0
6828,SHAWINIGAN,5290,46.57,-72.75,1902.0,2004.0
6868,BISHOPTON,5319,45.58,-71.57,1948.0,1996.0
6874,BROME,5325,45.18,-72.57,1875.0,2014.0
6876,BROMPTONVILLE,5327,45.48,-71.95,1957.0,2019.0
6884,CHARTIERVILLE,5334,45.28,-71.2,1951.0,1990.0
6889,COATICOOK,5339,45.15,-71.8,1949.0,2019.0
6896,DANVILLE,5345,45.82,-71.98,1871.0,2019.0
6897,DISRAELI,5346,45.92,-71.32,1908.0,1991.0
6899,DRUMMONDVILLE,5348,45.88,-72.48,1913.0,2019.0
6907,EAST HEREFORD,5356,45.08,-71.5,1949.0,1994.0
6909,FARNHAM,5358,45.3,-72.9,1917.0,2019.0
6920,GEORGEVILLE,5368,45.13,-72.23,1951.0,2019.0
6921,GRANBY,5369,45.38,-72.72,1948.0,2019.0
6926,HEMMINGFORD FOUR WINDS,5373,45.07,-73.72,1960.0,2019.0
6928,HUNTINGDON,5374,45.05,-74.17,1870.0,2008.0
6946,LAMBTON,5387,45.83,-71.08,1915.0,1994.0
6956,LENNOXVILLE,5397,45.37,-71.82,1888.0,2019.0
6957,LINGWICK,5398,45.63,-71.37,1952.0,2019.0
6960,MAGOG,5401,45.27,-72.12,1948.0,2019.0
6965,MARIEVILLE,5406,45.4,-73.13,1960.0,2019.0
6971,MILAN,5411,45.58,-71.12,1949.0,2015.0
6978,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,5415,45.47,-73.75,1941.0,2013.0
6985,MONTREAL MCGILL,5420,45.5,-73.58,1871.0,1993.0
6991,NICOLET,5426,46.2,-72.62,1913.0,2018.0
6997,PHILIPSBURG,5431,45.03,-73.08,1950.0,2015.0
7007,RICHMOND,5440,45.63,-72.13,1871.0,2019.0
7018,ST ANICET,5448,45.13,-74.35,1960.0,2019.0
7027,STE CLOTHILDE CDA,5456,45.17,-73.68,1937.0,1990.0
7036,ST EPHREM,5462,46.07,-70.97,1929.0,2019.0
7043,STE GENEVIEVE,5484,45.5,-73.85,1952.0,2015.0
7049,MONTREAL/ST-HUBERT A,5490,45.52,-73.42,1928.0,2015.0
7066,ST MALO D AUCKLAND,5502,45.2,-71.5,1949.0,2019.0
7085,ST THEOPHILE,5519,45.93,-70.48,1950.0,2018.0
7093,SCOTT,5527,46.5,-71.08,1950.0,2019.0
7100,SOREL,5532,46.03,-73.12,1914.0,2019.0
7104,STANSTEAD,5536,45.02,-72.1,1948.0,1991.0
7110,THETFORD MINES,5542,46.1,-71.35,1960.0,2019.0
7115,VALLEYFIELD,5562,45.28,-74.1,1952.0,2019.0
7150,BELL FALLS,5580,45.77,-74.68,1919.0,1994.0
7156,CHELSEA,5585,45.52,-75.78,1927.0,2019.0
7183,MANIWAKI UA,5607,46.3,-76.01,1953.0,2018.0
7189,MONTEBELLO (SEDBERGH),5612,45.7,-74.93,1956.0,2015.0
7195,NOMININGUE,5618,46.4,-75.08,1913.0,2013.0
7197,NOTRE DAME DU LAUS,5620,46.12,-75.63,1929.0,1991.0
7198,OTTER LAKE,5621,45.85,-76.43,1948.0,2004.0
7199,PERKINS,5622,45.6,-75.62,1911.0,1991.0
7200,POINTE AU CHENE,5623,45.65,-74.8,1958.0,2009.0
7209,ST JEROME,5631,45.8,-74.05,1932.0,2019.0
7211,SHAWVILLE,5633,45.62,-76.47,1948.0,2012.0
7213,SHEENBORO,5635,45.97,-77.25,1948.0,2014.0
7218,WALTHAM,5640,45.92,-76.92,1953.0,1994.0
7224,BAIE-COMEAU A,5662,49.13,-68.2,1947.0,2005.0
7264,GRANDES BERGERONNES,5687,48.25,-69.52,1951.0,2015.0
7273,LABRIEVILLE B1,5694,49.3,-69.55,1955.0,1994.0
7278,LA MALBAIE,5699,47.67,-70.15,1913.0,2004.0
7300,NATASHQUAN A,5715,50.18,-61.82,1914.0,2008.0
7329,ST URBAIN,5741,47.57,-70.55,1957.0,2004.0
7330,SEPT-ILES A,5742,50.22,-66.27,1944.0,2002.0
7335,TADOUSSAC,5745,48.15,-69.7,1913.0,2004.0
7361,AMQUI,5761,48.52,-67.45,1957.0,1997.0
7367,ARMAGH,5766,46.75,-70.53,1916.0,1994.0
7386,CAPLAN,5780,48.1,-65.68,1947.0,2004.0
7387,CAP MADELEINE,5781,49.23,-65.32,1882.0,1994.0
7392,CAUSAPSCAL,5785,48.37,-67.23,1913.0,2019.0
7413,HONFLEUR,5801,46.68,-70.85,1957.0,2005.0
7419,LAMARTINE,5805,47.03,-70.35,1960.0,1994.0
7421,LA POCATIERE CDA,5806,47.35,-70.03,1899.0,1996.0
7427,MATANE,5810,48.85,-67.47,1951.0,2004.0
7431,MONT-JOLI A,5814,48.6,-68.22,1943.0,2013.0
7435,MONT LOUIS,5816,49.23,-65.73,1933.0,1994.0
7437,MURDOCHVILLE,5818,48.95,-65.52,1952.0,1995.0
7454,PORT DANIEL,5832,48.15,-64.98,1927.0,2004.0
7459,RIMOUSKI,5836,48.45,-68.52,1952.0,2019.0
7461,RIVIERE BLEUE,5838,47.43,-69.03,1950.0,2004.0
7478,ST ELZEAR DE BONAVENTURE,5852,48.18,-65.35,1948.0,2004.0
7490,ST PAMPHILE,5864,46.97,-69.78,1950.0,2004.0
7497,STE ROSE DU DEGELIS,5871,47.57,-68.63,1932.0,2004.0
7500,TRINITE DES MONTS,5874,48.13,-68.48,1950.0,2004.0
7501,TROIS PISTOLES,5875,48.15,-69.12,1951.0,2004.0
7517,ALBANEL,5887,48.88,-72.45,1922.0,1991.0
7519,BAGOTVILLE A,5889,48.33,-71.0,1942.0,2019.0
7537,CHUTE-DES-PASSES,5903,49.84,-71.17,1960.0,2019.0
7544,ISLE MALIGNE,5910,48.58,-71.63,1924.0,1991.0
7547,LAC BOUCHETTE,5913,48.22,-72.17,1949.0,2015.0
7552,LAC STE CROIX,5918,48.42,-71.75,1958.0,2018.0
7558,MISTASSINI,5923,48.85,-72.2,1912.0,1994.0
7560,MONT APICA,5924,47.97,-71.42,1957.0,1990.0
7563,NORMANDIN CDA,5926,48.85,-72.53,1936.0,1992.0
7567,PERIBONCA,5929,48.77,-72.03,1951.0,2018.0
7572,ROBERVAL A,5934,48.52,-72.27,1957.0,2014.0
7576,ST AMBROISE,5936,48.57,-71.33,1954.0,2019.0
7577,ST COEUR DE MARIE,5937,48.63,-71.72,1957.0,1994.0
7582,SHIPSHAW,5941,48.45,-71.22,1943.0,1993.0
7607,LA TUQUE,5957,47.4,-72.78,1911.0,2004.0
7615,PARENT,5966,47.92,-74.62,1943.0,2019.0
7624,BARRAGE ANGLIERS,5976,47.55,-79.24,1911.0,2007.0
7625,BARRAGE TEMISCAMINGUE,5977,46.71,-79.1,1910.0,2019.0
7626,BELLETERRE,5978,47.38,-78.7,1951.0,2004.0
7630,KIPAWA LANIEL,5982,47.05,-79.27,1920.0,2001.0
7634,MANNEVILLE,5986,48.55,-78.48,1949.0,1993.0
7653,VILLE MARIE,6002,47.35,-79.43,1913.0,2004.0
7659,AMOS,6019,48.57,-78.13,1913.0,2000.0
7660,BARRAUTE,6020,48.37,-77.65,1958.0,1994.0
7679,EASTMAIN,6034,52.25,-78.52,1960.0,1993.0
7703,LA SARRE,6049,48.78,-79.22,1951.0,2004.0
7735,TASCHEREAU,6078,48.67,-78.7,1951.0,2004.0
7737,VAL-D'OR A,6081,48.06,-77.79,1951.0,2019.0
7767,INUKJUAK UA,6082,58.47,-78.08,1921.0,1996.0
7773,KUUJJUARAPIK A,6083,55.28,-77.75,1925.0,2014.0
7804,KUUJJUAQ A,6095,58.1,-68.42,1947.0,2014.0
7819,SCHEFFERVILLE A,6098,54.8,-66.82,1948.0,2010.0
